GATE_HI_SH: 245.2298,-509.8243,205.797,-366.5,1,0
GATE_SH_DS: 3167.751,200.1879,2257.06,44.16567,0,0
GATE_SH_HI: 3359.068,797.3832,2506.462,709.9105,1,0
GATE_SH_SB: -280.9343,-406.6165,-167.5377,-377.0894,1,0
GATE_SH_UW: -5157.186,4.456709,-3572.756,133.6619,1,0
SH_A04: -126.8441,50.6048,-43.56164,111.9442,1,1
SH_A05: 531.1555,-51.3955,569.4388,-172.0556,0,1
SH_A06: 2267.156,417.6049,1674.439,250.9441,1,1
SH_A07: -441.8446,-415.3951,-294.5618,-390.0558,1,0
SH_A08: 703.1541,908.605,572.4385,722.9445,1,1
SH_A09: 1260.157,472.6048,1071.439,375.9444,2,1
SH_A10: -299.845,382.6045,-180.5616,289.944,1,0
SH_A11: 1074.157,216.6048,798.4385,161.9439,1,1
SH_A12: 1334.157,350.6048,963.4388,287.9442,2,1
SH_A13: -936.8445,85.60463,-644.5612,81.94425,1,1
SH_A14: 2522.158,180.6048,1817.439,15.94424,0,1
SH_A15: 564.1555,370.6045,466.4387,298.9444,1,1
SH_A16: 714.1541,-17.39568,569.4388,-57.05616,1,1
SH_A17: 40.15537,-249.3954,91.439,-92.05579,0,1
SH_A19: -974.8456,-33.39569,-671.562,-47.05598,1,1
SH_A21: 529.1544,-161.3953,444.4387,-151.0559,0,1
SH_A22: 2355.156,305.6048,1794.439,316.9444,1,1
SH_A23: 1429.157,231.6048,1066.439,195.9443,1,1
SH_A24: -5597.844,-253.3952,-3888.562,-83.05559,1,2
SH_A25: -1504.843,-462.3952,-1085.563,-392.0558,1,0
SH_A26: 732.3756,96.50053,577.7858,68.71188,1,1
SH_B01: 2378.157,567.6047,1752.439,451.9442,2,1
SH_B02: 282.1546,-197.395,210.4387,-132.0559,0,1
SH_B03: 2363.156,50.60427,1698.439,-138.0559,0,1
SH_B04: 2117.157,456.6049,1517.439,389.9442,2,1
SH_B05: 810.1541,203.605,571.4388,186.9442,1,1
SH_B06: 1072.157,-102.3953,806.4385,-196.0556,0,1
SH_B07: -340.845,-229.3952,-219.5617,-246.056,1,0
SH_B08: 2604.016,677.1849,1989.439,483.9442,2,1
SH_B09: -5536.844,-428.3952,-3850.562,-294.0555,1,2
SH_B10: 1155.157,-359.3955,825.4385,-382.0559,0,1
SH_B11: -1562.843,-188.3952,-1121.561,-138.0559,1,0
SH_B12: -2179.843,-214.3952,-1568.561,-142.0557,1,2
SH_B13: 1261.203,92.53225,870.8376,31.03397,1,1
