GATE_UW_SS: -40.04935,-1991.883,-108.0812,-1559.42,1,0
GATE_SS_UW: -737.3396,2523.541,-648.9467,2174.294,2,0
SS_A19: 40.88304,-1898.739,2.511582,-1559.68,1,0
SS_A08: 197.4304,-1898.57,116.7448,-1558.16,1,0
SS_S01: 318.4341,-1842.797,224.521,-1555.815,1,0
SS_B01: 189.4306,-1719.57,112.7448,-1424.16,1,0
SS_A10: 29.43052,-1660.57,-7.255596,-1333.16,1,1
SS_B05: -683.5691,-1717.57,-250.255,-1345.16,2,0
SS_D06: -996.5693,-1808.57,-502.2551,-1438.16,2,4
SS_F02: -1357.569,-1612.569,-730.2552,-1334.159,2,4
SS_C02: -1396.569,-1254.57,-765.2549,-993.1605,2,4
SS_H01: -1015.569,-1286.57,-636.2549,-917.1594,2,0
SS_E01: 25.43036,-1174.569,-210.2553,-923.1594,1,1
SS_C06: 29.43108,-1418.57,-1.254975,-1208.159,1,1
SS_B03: 27.43036,-983.5685,17.74507,-801.1594,1,1
SS_I02: 29.43073,-671.5662,-49.25511,-588.1594,1,1
SS_B06: 733.4312,-894.5692,298.7448,-709.1594,0,3
SS_B02: 977.4312,-1006.57,526.7448,-797.1594,0,3
SS_S02: 1126.052,-902.0933,644.8737,-711.246,0,0
SS_E02: 980.4312,-1251.57,323.7452,-919.1594,0,3
SS_A16: 1467.432,-1187.569,1002.745,-842.1594,0,3
SS_A03: 1453.432,-1044.569,1001.745,-713.1594,0,3
SS_F01: 1302.431,-722.5692,885.7448,-716.1605,0,3
SS_A04: 1155.432,-394.5685,773.7448,-289.1595,0,3
SS_D03: 964.4303,-224.569,686.7451,-153.1595,0,3
SS_C07: 584.4312,-301.5684,368.7449,-174.1592,0,3
SS_E06: -26.5694,-290.5684,-151.2554,-181.1594,1,1
SS_A11: -33.56905,-429.5689,37.7449,-291.1595,1,1
SS_E04: -827.5696,-255.5683,-657.2549,-205.1594,2,0
SS_B04: -1285.568,-295.5693,-774.2552,-178.1594,2,4
SS_S03: -1387.358,-163.8364,-879.1862,-32.94345,2,0
SS_F03: -1293.568,-751.5676,-767.2552,-683.1605,2,4
SS_A13: -1328.569,-62.56881,-780.2552,29.84064,2,4
SS_D05: -1085.568,-83.5688,-658.2552,-75.15939,2,4
SS_E05: -1001.384,310.831,-649.2549,130.8404,2,4
SS_LAB9: -1006.569,668.4312,-646.2552,567.8406,2,4
SS_LAB4: -823.5688,670.4308,-508.2549,561.8406,2,4
SS_LAB11: -820.5697,538.4308,-504.2555,436.8407,2,4
SS_LAB10: -649.5697,540.4308,-394.2551,431.8405,2,4
SS_LAB5: -479.569,539.4308,-285.2552,421.8407,2,4
SS_LAB6: -644.5688,673.4308,-387.2547,559.8406,2,4
SS_LAB3: -478.569,672.4308,-280.2551,551.8406,2,4
SS_LAB12: -305.569,540.4308,-170.2547,426.8407,2,4
SS_A18: -255.5698,660.4308,-150.255,547.8397,1,4
SS_I03: 84.43096,663.4315,-11.25513,401.8405,1,0
SS_D04: -59.5699,318.4311,-15.25482,177.8406,1,3
SS_C03: -293.569,273.4312,-124.255,91.84065,1,3
SS_A17: -77.56904,-76.56882,-2.254995,-56.15933,1,3
SS_A15: 11.43108,114.4313,48.7449,61.84049,1,3
SS_S05: 172.1732,87.91251,167.7434,38.92985,1,0
SS_C08: 556.4307,612.4308,333.7449,534.8406,1,0
SS_LAB13: 876.4312,615.4308,661.7444,515.8406,0,2
SS_LAB7: 1043.431,616.4312,783.7444,511.8407,0,2
SS_E03: 875.4312,257.4313,763.7448,57.84052,0,0
SS_LAB2: 1225.432,622.4308,909.7444,513.8406,0,2
SS_LAB8: 1223.431,752.4315,912.7448,644.8406,0,2
SS_A01: 1220.432,884.4308,913.7451,773.8406,0,2
SS_A14: 1048.431,884.4308,784.7444,769.8406,0,2
SS_LAB1: 1044.431,751.4315,788.7448,648.8406,0,2
SS_D02: 784.4303,794.4315,556.7448,663.8406,0,2
SS_C04: 391.4303,864.4308,227.7447,731.8406,0,0
SS_A09: 83.43075,895.4308,115.7442,731.8397,0,5
SS_E07: 82.43067,1236.431,117.7447,848.8406,0,5
SS_L01: 85.31402,1753.571,13.71434,1292.772,0,5
SS_AI: 85.30325,1828.923,-104.364,1477.596,1,0
SS_D07: -160.3395,1964.542,-424.947,1603.299,2,0
SS_E08: -387.897,2292.897,-422.979,1733.425,2,1
SS_D08: -502.9701,2585.327,-541.5775,2167.802,2,1
SS_S04: -583.9552,2413.671,-537.7386,2043.068,2,0
OffScreenDen_SS: -499.5694,857.4315,-389.2554,386.8405,1,1
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: SS_A19,SS_A08,39,13,3,13,0,2
Connection: SS_A08,SS_B01,38,30,41,5,1,3
Connection: SS_A08,SS_S01,40,13,24,12,0,3
Connection: SS_B01,SS_A10,3,61,44,20,2,0
Connection: SS_A10,SS_C06,23,27,19,8,1,3
Connection: SS_A10,SS_B05,3,20,96,28,2,0
Connection: SS_B05,SS_D06,4,22,97,74,2,1
Connection: SS_D06,SS_F02,6,73,96,29,2,0
Connection: SS_F02,SS_C02,5,117,2,19,1,2
Connection: SS_C02,SS_F03,44,110,24,2,1,3
Connection: SS_C02,SS_H01,45,80,7,68,0,2
Connection: SS_H01,SS_E01,184,5,5,16,3,2
Connection: SS_E01,SS_B03,126,32,22,7,1,3
Connection: SS_E01,SS_E02,251,16,5,19,0,2
Connection: SS_E01,SS_C06,126,4,21,113,3,1
Connection: SS_B03,SS_I02,22,74,74,12,1,3
Connection: SS_I02,SS_A11,54,118,23,2,1,3
Connection: SS_I02,SS_B06,126,13,5,22,3,2
Connection: SS_B06,SS_B02,98,15,3,74,0,2
Connection: SS_B02,SS_S02,45,70,15,14,0,2
Connection: SS_B02,SS_E02,23,5,125,32,3,1
Connection: SS_E02,SS_A16,251,16,5,4,0,3
Connection: SS_A16,SS_A03,41,31,46,3,1,3
Connection: SS_A03,SS_F01,2,31,44,20,1,0
Connection: SS_F01,SS_A04,9,211,45,5,2,0
Connection: SS_A04,SS_D03,2,31,94,5,1,3
Connection: SS_D03,SS_E03,56,73,25,2,1,3
Connection: SS_D03,SS_C07,7,12,147,17,2,0
Connection: SS_C07,SS_E06,4,18,248,31,2,0
Connection: SS_E06,SS_A17,126,31,42,2,1,3
Connection: SS_E06,SS_E04,4,18,251,19,2,0
Connection: SS_E06,SS_A11,123,3,23,32,3,1
Connection: SS_E04,SS_B04,5,16,44,51,2,0
Connection: SS_B04,SS_A13,21,74,40,4,1,3
Connection: SS_B04,SS_D05,35,74,2,10,1,2
Connection: SS_B04,SS_S03,3,65,21,12,2,3
Connection: SS_B04,SS_F03,21,6,24,225,3,1
Connection: SS_A13,SS_D05,40,32,4,72,1,2
Connection: SS_D05,SS_E05,93,70,38,3,1,3
Connection: SS_E05,SS_LAB9,3,185,8,3,1,2
Connection: SS_LAB9,SS_LAB4,27,31,9,31,1,2
Connection: SS_LAB4,SS_LAB6,27,32,9,31,1,2
Connection: SS_LAB4,SS_LAB11,8,3,27,31,2,1
Connection: SS_LAB11,SS_LAB10,43,3,8,3,0,2
Connection: SS_LAB10,SS_LAB5,43,31,9,31,0,2
Connection: SS_LAB5,SS_LAB3,24,32,26,2,1,3
Connection: SS_LAB5,SS_LAB12,43,31,8,3,0,2
Connection: SS_LAB6,SS_LAB3,29,31,27,31,1,1
Connection: SS_LAB12,SS_A18,27,31,10,4,1,3
Connection: SS_A18,SS_I03,43,21,2,63,0,2
Connection: SS_I03,SS_C08,151,55,4,30,0,1
Connection: SS_I03,SS_D04,67,5,90,75,3,1
Connection: SS_D04,SS_C03,4,72,45,108,2,0
