GATE_SU_DS: -1791.269,-90.14697,-1365.868,-139.1698,2,0
GATE_SU_CC: 762.7665,648.0098,607.0178,613.2946,0,0
GATE_SU_LF: 2229.729,182.8528,1789.133,136.8302,1,0
SU_B14: 1996.96,169.4358,1542.863,129.36,1,0
SU_B12: 1668.647,171.4474,1219.232,125.4807,1,1
SU_A63: 1378.649,177.4474,1077.232,103.4802,1,1
SU_A40: 1553.647,109.4472,1216.234,-21.51965,0,1
SU_A17: 1377.647,134.4472,1085.234,-48.51984,0,1
SU_A10: 1192.649,116.4469,949.232,-25.51993,0,1
SU_A32: 1035.649,59.44746,824.2318,-31.51948,0,1
SU_B05: 857.6471,94.44733,680.2318,-4.519507,0,1
SU_B01: 1018.649,230.447,817.2318,116.4802,1,1
SU_S03: 1179.087,282.2144,955.3412,242.3866,1,0
SU_A45: 1197.33,180.0099,951.346,113.7674,1,0
SU_A30: 714.6488,115.447,569.2318,43.4801,0,1
SU_B02: 807.6485,305.4471,622.232,253.4801,1,1
SU_A35: 566.6482,165.4472,486.2323,252.4801,1,1
SU_B09: 567.6488,163.4472,448.2319,42.48021,0,1
SU_B10: 565.6485,-79.55295,429.2322,-148.5198,0,1
SU_A34: 389.6486,279.4471,331.232,142.4807,1,1
SU_B06: 229.6484,208.4469,139.2316,219.4803,1,1
SU_B11: 417.6486,391.4471,258.2319,391.4799,1,1
SU_A33: 647.6488,349.4471,484.232,380.4803,0,1
SU_B13: 646.6482,570.447,485.232,516.4803,0,1
SU_B04: 16.64884,-40.55262,-66.76796,85.48015,1,1
SU_B07: 342.6467,-209.5526,183.2328,-158.5197,0,1
SU_A02: -68.35184,-208.5526,-77.76849,-80.51966,0,1
SU_A37: -319.3513,-1.552544,-229.7684,119.4803,1,1
SU_S04: -322.2688,109.5918,-216.3029,243.8085,1,0
SU_A38: -263.3513,-70.55255,-192.7684,23.48048,1,1
SU_A07: -543.3531,20.44749,-407.768,87.48019,2,1
SU_A20: -753.3515,-35.55278,-560.7677,-15.51988,2,1
SU_A29: -579.3515,-96.55263,-439.768,-73.51981,2,1
SU_A06: -416.3515,-149.5526,-315.768,-80.51975,0,1
SU_A31: -223.3515,-166.5528,-183.7681,-68.51972,0,1
SU_A53: 115.6487,-246.5526,46.23152,-152.5197,0,1
SU_B08: -1030.351,-1.552667,-813.7677,-38.51969,2,1
SU_C02: -1473.353,-11.55256,-1183.768,-43.51979,2,1
SU_A39: -1765.351,-26.55268,-1366.768,-6.51965,2,1
SU_A13: -1718.351,154.447,-1377.768,119.4799,2,1
SU_A04: -1932.351,150.4469,-1513.768,120.4802,2,1
SU_C01: -2149.352,16.44714,-1643.768,-73.52014,2,1
SU_A36: -1952.351,-20.55256,-1506.768,-5.519741,2,1
SU_A12: -1978.351,-127.553,-1510.768,-119.5197,2,1
SU_A25: 41.6487,-370.5529,17.23153,-278.5199,0,0
SU_A24: 40.6487,-481.553,46.23148,-410.5197,0,0
SU_A23: -131.3516,-480.553,-123.7684,-354.5197,0,0
SU_A22: -234.3517,-588.553,-213.7679,-480.52,0,0
SU_S01: -366.3283,-599.9101,-332.7205,-485.6626,0,0
SU_C04: -766.2483,-492.1679,-722.9099,-369.3568,1,0
SU_A41: -452.2482,-488.1679,-386.9097,-361.3568,1,0
SU_A42: -443.2482,-386.1678,-372.9097,-236.3568,1,0
SU_A43: -291.2482,-481.1678,-245.9099,-364.3568,1,0
