GATE_SH_DS: -1304.075,-636.7769,-860.9285,-597.0805,1,0
GATE_SU_DS: -112.0726,406.8385,-89.21041,468.8169,1,0
GATE_DS_SL: 1677.925,134.2235,1226.073,65.91944,1,0
GATE_HI_DS: -1731.064,145.1489,-1178.192,131.5958,2,0
DS_S01r: 1560.097,29.54059,1103.071,-69.37333,2,0
DS_A23: 1518.347,80.95097,1099.169,49.25136,1,0
DS_B01: 1275.347,73.95097,875.1698,83.2512,1,1
DS_A10: 1035.347,-203.0491,781.1697,-254.7491,2,1
DS_B08: 1118.348,-23.04891,842.1697,-130.7491,2,1
DS_A20: 1134.347,197.9509,848.1697,203.2509,1,1
DS_A09: 973.3484,124.951,723.1697,160.2511,1,1
DS_A15: 808.3481,148.9509,604.1697,170.2513,1,1
DS_A22: 762.3475,1.950967,560.1697,34.25116,1,1
DS_A06: 580.3484,3.95097,424.1696,30.25116,1,1
DS_A11: 977.3481,12.95085,676.1697,29.25123,1,1
DS_C03: 706.3466,-183.0491,421.1714,-237.7489,2,1
DS_A05: 372.3481,-173.0491,288.1696,-242.7487,2,1
DS_A17: 563.3481,-218.0489,430.1696,-100.7489,1,1
DS_A14: 396.3481,-30.04902,292.1696,5.251174,1,1
DS_B03: 324.3481,204.9509,225.1698,176.2511,1,1
DS_A01: 258.3481,22.95099,159.1698,9.250893,1,1
DS_A13: 195.3483,33.95098,105.1698,129.2509,2,1
DS_S04: 482.3983,209.9538,353.0753,252.7883,1,0
DS_B04: 73.34824,286.9511,-25.83018,322.2512,1,1
DS_A02: -4.651707,66.95097,-88.83042,142.2511,2,1
DS_B07: -314.6519,176.9511,-397.8304,222.2511,2,1
DS_A21: -54.65294,194.9511,-155.8288,270.2511,2,1
DS_A19: -641.6519,219.9509,-529.8303,256.2513,2,1
DS_A08: -851.6519,128.9511,-594.8303,119.2513,2,1
DS_B02: -1119.653,109.951,-812.8303,99.25117,2,1
DS_B06: -716.6519,-53.04895,-498.8304,-74.74894,2,1
DS_C01: -565.6519,-41.04895,-385.8304,-221.7487,1,1
DS_S02l: -419.9028,-77.45948,-252.9276,-230.3734,2,0
DS_C02: -370.6524,107.9511,-257.8304,-109.749,1,1
DS_A25: -199.6517,67.95097,-125.8302,5.251033,1,1
DS_A07: -20.65184,57.95105,5.169715,-0.7487853,1,1
DS_D03: 185.3483,-224.0491,0.1696225,-124.7487,1,1
DS_A27: -205.652,-38.04903,-123.8304,-123.7487,2,1
DS_D01: -43.65183,-183.3123,-135.2778,-255.2489,2,1
DS_A24: -762.6519,-145.0491,-501.8304,-203.7487,1,0
DS_B10: -1485.782,126.9534,-1057.432,112.9437,2,1
DS_A16: -1364.653,-12.04898,-892.8302,-65.74878,1,1
DS_A26: -1194.653,12.95106,-745.8303,-87.74894,1,1
DS_C04: -968.6527,-106.049,-622.8303,-257.7492,1,0
DS_D02: -1137.653,-391.0491,-747.8303,-481.7488,1,0
DS_S03: -1175.741,-664.2968,-740.5331,-603.2801,1,0
OffScreenDen_DS: -212.6517,10.95096,-218.83,925.2514,1,1
Connection: GATE_SH_DS,DS_D02,36,19,3,16,1,2
Connection: GATE_SH_DS,DS_S03,45,9,19,18,0,2
Connection: GATE_SU_DS,DS_B04,36,5,9,28,3,1
Connection: GATE_DS_SL,DS_A23,2,9,45,29,2,0
Connection: GATE_DS_SL,DS_S01r,11,5,29,18,3,0
Connection: GATE_HI_DS,DS_B10,45,9,3,15,0,2
Connection: DS_A23,DS_B01,2,20,96,23,2,0
Connection: DS_B01,DS_A20,13,29,33,3,1,3
Connection: DS_B01,DS_B08,53,2,45,45,3,0
Connection: DS_A10,DS_B08,43,31,16,5,1,3
Connection: DS_A10,DS_C03,2,32,141,25,2,0
Connection: DS_A20,DS_A09,7,18,34,35,2,1
Connection: DS_A09,DS_A15,4,30,44,19,2,0
Connection: DS_A15,DS_A22,10,6,24,28,3,1
Connection: DS_A22,DS_A06,4,21,49,21,2,0
Connection: DS_A22,DS_A11,43,21,4,13,0,2
Connection: DS_A06,DS_A14,4,21,48,32,2,0
Connection: DS_A06,DS_A17,33,12,33,32,3,1
Connection: DS_C03,DS_A05,4,12,48,8,2,0
Connection: DS_A05,DS_D01,5,8,197,12,2,0
Connection: DS_A17,DS_D03,16,3,197,7,3,0
Connection: DS_A14,DS_B03,11,32,36,5,1,3
Connection: DS_B03,DS_B04,5,62,104,14,2,0
Connection: DS_B03,DS_S04,48,60,15,23,0,2
Connection: DS_B03,DS_A13,17,14,45,32,3,0
Connection: DS_B03,DS_A01,26,8,48,32,3,1
Connection: DS_A13,DS_A02,2,32,48,21,2,0
Connection: DS_A02,DS_B07,5,21,90,5,2,3
Connection: DS_B07,DS_A19,4,31,50,15,2,0
Connection: DS_B07,DS_A21,104,31,4,24,0,2
Connection: DS_A19,DS_A08,11,4,41,34,3,0
Connection: DS_A08,DS_B02,5,16,96,21,2,0
Connection: DS_A08,DS_B06,45,6,2,74,3,2
Connection: DS_B02,DS_B10,4,23,97,17,2,0
Connection: DS_B06,DS_C01,45,36,13,57,0,3
Connection: DS_C01,DS_C02,49,101,4,52,0,2
Connection: DS_C01,DS_S02l,40,57,18,18,3,2
Connection: DS_C01,DS_A24,5,24,45,15,2,0
Connection: DS_C01,DS_D01,42,15,3,6,3,2
Connection: DS_C02,DS_A25,48,59,4,25,0,2
Connection: DS_C02,DS_A27,49,14,2,10,0,2
Connection: DS_A25,DS_A07,49,23,4,25,0,2
Connection: DS_A07,DS_D03,31,3,34,20,3,1
Connection: DS_A27,DS_D01,42,3,64,18,3,1
Connection: DS_A24,DS_C04,4,2,45,17,3,0
Connection: DS_B10,DS_A16,45,9,5,32,3,1
Connection: DS_A16,DS_A26,41,24,2,13,3,2
Connection: DS_A26,DS_C04,42,31,2,113,0,2
Connection: DS_C04,DS_D02,2,11,44,122,2,0
