GATE_SB_SL: 246.5244,-496.9905,311.2836,-354.5861,2,0
GATE_DS_SL: -2868.655,3.973762,-1954.263,18.57142,1,0
GATE_GW_SL: 2328.92,473.6967,1776.826,342.9879,1,0
SL_D05: -2456.931,-65.23936,-1837.112,-22.48792,1,1
SL_S02: -2748.543,-64.5497,-1830.972,-148.7005,2,0
SL_A11: -2204.709,96.76051,-1579.558,96.87257,1,1
SL_C01: -2188.931,402.7606,-1577.112,219.5119,0,1
SL_D06: -2595.931,418.7606,-2021.112,345.5118,0,1
SL_A17: -2798.892,272.4398,-1982.607,205.9724,1,1
SL_A03: -2476.931,182.7606,-1728.112,201.5119,1,1
SL_S11: -2553.383,339.9904,-1859.501,203.9272,1,0
SL_B02: -1932.931,423.7606,-1457.112,317.5118,0,1
SL_A14: -2041.054,250.0171,-1458.177,201.6761,1,1
SL_A02: -1664.931,421.7606,-1164.112,319.5118,0,1
SL_C02: -1301.93,418.7606,-1012.111,323.5118,0,1
SL_E03: -1576.088,246.4937,-1322.893,199.0795,1,1
SL_A10: -1983.93,-74.23923,-1404.112,-28.48808,1,1
SL_C06: -1573.931,-64.23933,-1273.112,-30.48797,1,1
SL_S08: -1578.843,67.65243,-1143.93,84.07021,1,0
SL_A07: -1180.93,-32.23937,-857.1118,33.5118,1,1
SL_A04: -1026.931,-50.23918,-694.1115,23.51175,1,1
SL_A12: -1065.709,103.7603,-785.5562,178.8725,1,1
SL_S04: -1006.855,57.40848,-687.4926,-108.0746,1,0
SL_A13: -924.1828,198.7606,-658.7404,161.2148,1,1
SL_A05: -899.9322,-128.2395,-557.1115,-40.48816,1,1
SL_C04: -690.9319,18.76084,-440.1109,-54.48816,1,1
SL_B01: -885.9317,502.7606,-610.1119,291.5118,0,1
SL_D01: -578.9317,350.7606,-415.1109,264.5114,0,1
SL_Q01: -789.4961,73.76579,-547.9478,141.726,0,1
SL_Q03: -493.8708,70.81276,-293.9608,112.5039,0,1
SL_Q02: -158.3622,44.63248,-40.73154,117.176,0,1
SL_C08: -512.9311,-177.2391,-313.1107,-177.4884,1,1
SL_E01: -294.9315,-160.239,-182.1112,-379.4886,1,1
SL_B04: -293.9315,653.7603,-154.1112,562.5117,0,1
SL_C03: -294.2815,290.2355,-164.1115,248.5117,0,1
