GATE_LF_SB: -3485.15,-429.5677,-2424.852,-367.7289,1,0
GATE_SU_LF: -1569.147,495.4321,-1004.851,443.2711,1,0
GATE_LF_GW: 2433.918,-14.6582,1663.807,-22.95542,1,0
LF_S04: -3422.513,-529.8633,-2390.306,-507.5471,1,0
LF_B03: -1306.25,456.8986,-887.0373,425.5721,1,0
LF_E01: -786.2498,543.8987,-664.0378,535.5722,0,1
LF_F02: -1297.248,236.8986,-891.0373,77.57216,0,1
LF_S01: -1535.249,33.89883,-1012.037,79.57195,0,0
LF_B05: -1027.25,-11.10144,-650.9377,14.0972,1,1
LF_E05: -512.2501,-54.10148,-537.0394,-9.427812,0,1
LF_C02: 184.7492,-38.1016,60.96241,-9.427845,0,1
LF_A01: 563.7495,-1.101502,434.9621,45.57217,0,1
LF_S03: 455.7519,21.8985,312.9607,123.5721,1,0
LF_H02: 1000.749,-62.10148,594.9625,-66.42781,0,1
LF_A14: 1474.752,-171.1011,1097.961,-135.4279,1,0
LF_A15: 1415.264,-322.3471,1079.25,-255.6801,1,1
LF_D04: 1860.75,-81.10112,1206.963,-109.4277,1,1
LF_B01: 1229.75,-249.1009,896.9623,-390.4277,2,1
LF_E04: 638.7499,-333.1016,274.9622,-391.4279,2,1
LF_C01: -78.2479,-391.1015,-88.03735,-380.4279,2,1
LF_A13: -412.2501,-396.1011,-201.0376,-380.4279,2,1
LF_D06: 1617.751,87.89868,1095.963,-2.42781,1,1
LF_S07: 1627.439,353.2019,975.8668,234.1446,1,0
LF_B04: 2192.752,-8.101502,1434.961,-22.4278,1,0
LF_S02: 1969.752,46.8987,1348.963,85.57213,0,0
LF_A06: -527.2481,-511.1015,-279.0392,-527.428,2,1
LF_S05: -557.9891,-637.6025,-301.1752,-658.8079,2,0
LF_D07: -896.3816,-411.4412,-716.3696,-489.5941,2,1
LF_D02: -632.2505,-236.1013,-434.0379,-262.4283,1,1
LF_A03: -836.2503,-416.1015,-510.0376,-388.4279,1,1
LF_H01: -1486.25,-305.1014,-1345.037,-274.4279,1,1
LF_A05: -2127.248,-413.1009,-1381.037,-395.4279,1,1
LF_J01: -2562.248,-359.1014,-1953.039,-366.4279,1,1
LF_C03: -3176.247,-432.1015,-2291.04,-385.4279,1,1
LF_E03: -71.25023,-155.1013,-204.0378,-168.4277,1,1
LF_A11: 377.7495,-228.1011,324.9625,-153.4278,1,1
LF_D08: 769.5209,-203.6393,445.9087,-193.622,1,1
LF_A07: 1106.752,-80.10167,707.9622,126.5723,1,1
LF_C05: 1107.24,279.655,707.916,244.0729,1,1
LF_A02: 756.7497,386.8985,584.9624,415.5719,1,1
LF_A12: 496.7495,391.8991,475.9626,420.5723,1,1
LF_E02: 44.7496,540.8987,-17.03725,546.5721,0,1
LF_A04: -382.2505,442.8985,-126.0374,424.5721,1,1
LF_S06: -385.7045,336.0385,-128.4595,300.7159,1,0
LF_D01: 818.7497,539.8987,535.963,544.5718,0,1
LF_A10: 1317.749,557.8987,968.9622,523.5721,0,1
LF_B02: 1604.751,494.8987,1085.961,409.5719,0,1
LF_A17: 1442.983,442.6429,968.6028,411.4659,1,1
LF_D03: 1854.752,399.8986,1194.961,273.5721,0,1
OffScreenDen_LF: -1291.251,390.899,-44.03724,609.5721,1,1
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_SU_LF,LF_B03,45,9,3,21,0,2
Connection: GATE_LF_GW,LF_B04,2,11,96,8,2,0
Connection: LF_B03,LF_E01,97,21,14,7,0,3
Connection: LF_B03,LF_F02,46,5,57,95,0,3
Connection: LF_E01,LF_A04,239,2,5,30,3,1
Connection: LF_F02,LF_S01,8,11,22,18,3,0
Connection: LF_F02,LF_B05,99,11,5,48,3,2
Connection: LF_B05,LF_E05,39,13,15,10,0,2
Connection: LF_E05,LF_C02,253,25,4,20,0,2
Connection: LF_C02,LF_A01,150,20,7,10,0,2
Connection: LF_C02,LF_A11,126,5,2,29,0,1
Connection: LF_A01,LF_S03,4,26,24,18,2,0
Connection: LF_A01,LF_H02,50,10,19,51,0,2
Connection: LF_H02,LF_A14,203,12,5,12,0,3
Connection: LF_A14,LF_D04,44,15,6,12,0,2
Connection: LF_A14,LF_A15,11,12,30,27,3,1
Connection: LF_A15,LF_B01,7,7,44,58,3,3
Connection: LF_D04,LF_B04,100,55,4,10,3,2
Connection: LF_D04,LF_D06,3,51,42,12,3,3
Connection: LF_B01,LF_E04,18,54,254,5,3,3
Connection: LF_E04,LF_C01,17,3,152,15,3,3
Connection: LF_C01,LF_A13,4,21,43,6,2,3
Connection: LF_A13,LF_D02,2,31,98,6,1,3
Connection: LF_A13,LF_A06,7,6,42,27,3,1
Connection: LF_D06,LF_S07,8,143,24,19,1,2
Connection: LF_D06,LF_D03,42,141,10,4,0,3
Connection: LF_B04,LF_S02,4,32,22,14,2,0
Connection: LF_A06,LF_D07,5,29,189,20,1,3
Connection: LF_A06,LF_S05,5,3,14,26,3,1
Connection: LF_D02,LF_E03,97,49,7,7,3,3
Connection: LF_D02,LF_A03,7,1,44,32,2,1
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_H01,LF_A05,21,3,43,29,3,1
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_J01,LF_C03,18,8,141,11,3,3
Connection: LF_E03,LF_A11,241,1,5,13,0,2
Connection: LF_A11,LF_D08,43,15,3,6,0,2
Connection: LF_D08,LF_A07,199,31,9,2,1,3
Connection: LF_A07,LF_C05,23,30,23,8,1,3
Connection: LF_C05,LF_A02,6,97,45,19,2,0
Connection: LF_A02,LF_A12,4,6,42,5,2,0
Connection: LF_A12,LF_E02,5,29,221,1,1,3
Connection: LF_A12,LF_D01,26,30,15,2,1,3
Connection: LF_E02,LF_A04,8,8,42,30,3,1
Connection: LF_A04,LF_S06,8,5,7,23,2,1
Connection: LF_D01,LF_A10,197,7,6,1,3,2
Connection: LF_A10,LF_B02,40,1,8,45,0,3
Connection: LF_B02,LF_D03,45,20,2,51,0,2
Connection: LF_B02,LF_A17,2,16,48,11,2,0
